Hotel Name,Rating,Rating Description,Reviews,Star Rating,Location,Nearest Landmark,Distance to Landmark,Price,Tax
Draper Startup House Koramangala | Dorms & Rooms,4.4,Excellent,222,,Koramangala,,,"1,113",294
The Lalit Ashok Bangalore,3.8,Very Good,2542,5,Seshadripuram,,,"6,698","1,354"
"Vivanta Bengaluru, Residency Road",4.3,Excellent,1022,5,Residency Road ,MG Road,1.5 km ,"7,000",
ibis Bengaluru Hebbal - An Accor Brand,4.1,Very Good,237,4,Hebbal,,,"4,499",
Vividus,4.2,Very Good,1791,5,Gandhi Nagar,,,"6,547","2,156"
Citrus Hotel Cunningham,4.1,Very Good,1869,5,Cunningham Road ,Indira Gandhi Musical Fountain Park,780 m ,"3,934","1,075"
Citrus Classic Bengaluru,3.9,Very Good,527,4,Outer Ring Road,,,"3,575",977
"Taj Yeshwantpur, Bengaluru",4.6,Excellent,2138,5,Tumkur road,,,"7,500",
Lemon Tree Hotel Whitefield,4.1,Very Good,2327,4,Brookefield,,,"2,347",843
"Golden Lotus Bangalore Boutique Suites | Rooms & Garden
Like a 3",3.8,Very Good,865,,Richmond road ,MG Road,3.0 km ,"2,660",754
Ramada Encore,4.4,Excellent,4271,4,Domlur Layout,,,"5,640","1,140"
Ibis Bengaluru Hosur Road - An Accor Brand,3.9,Very Good,1381,3,Hosur road,,,"4,499",
"The Oberoi, Bengaluru",4.7,Excellent,1565,5,Ulsoor,,,"11,500",
Holiday Inn Express Bengaluru Whitefield ITPL,3.5,Very Good,1242,3,Whitefield,,,"3,399",
The Hosteller Bangalore Brigade Road,,,,,Ashok Nagar ,MG Road,2.2 km ,"1,330",315
Ginger Bangalore (IRR),3.6,Very Good,1639,3,Domlur Layout,,,"1,689",
Gokulam Grand Hotel & Spa,4.1,Very Good,1537,5,Mathikere,,,"6,409","1,295"
Bloom Hotel - Airport Road Bengaluru,4.4,Excellent,191,3,Near Bangalore Airport ,Kempegowda Airport ,7.7 km ,"4,000",
Hotel Ramanashree Richmond Circle,3.8,Very Good,686,3,Sampangi Rama Nagar ,Cubbon Park,2.1 km ,"2,792",564
"SRS Suites
Like a 3",4.4,Excellent,20,,Koramangala,,,"3,178",806
JP CORDIAL,3.7,Very Good,1750,3,Majestic,,,"2,726",638
Taj Bangalore,4.6,Excellent,1172,5,Near Bangalore Airport ,Kempegowda Airport ,900 m ,"11,750",
Radisson Bengaluru City Center,4.5,Excellent,1283,4,Ulsoor,,,"7,500",
The Pride Hotel Bangalore,3.8,Very Good,1526,4,Richmond road ,Cubbon Park,2.6 km ,"4,599",552
BloomSuites | Electronic City,4.1,Very Good,643,4,Electronic City,,,"5,000",
Southern Star Bangalore,3.9,Very Good,1320,4,Ashok Nagar ,MG Road,910 m ,"3,082",872
Royal Orchid Central Bangalore,3.7,Very Good,3836,4,Ulsoor ,MG Road,2.3 km ,"5,823",699
Shivas Galaxy Hotel,4.1,Very Good,963,4,Near Bangalore Airport ,Kempegowda Airport ,8.2 km ,"2,900",604
"The Bouvice
Like a 3",4.2,Very Good,151,,Koramangala,,,"2,279",624
JW Marriott Bengaluru Prestige Golfshire Resort and Spa,4.7,Excellent,100,5,In Devanhalli ,Bangalore city centre,52.0 km ,"25,000",
La Sara Grand (Formerly Known as Nandhana Grand),4,Very Good,838,3,Koramangala,,,"2,939",752
Zone By The Park Infantry,3.9,Very Good,762,5,Infantry Road ,MG Road,1.9 km ,"4,252","1,021"
The Chancery,3.9,Very Good,2155,4,Ashok Nagar ,MG Road,980 m ,"4,230",990
Nash Inn Electronic City,3.1,Good,321,,Electronic City,,,979,268
Radisson Blu Bengaluru Outer Ring Road,4.2,Very Good,1159,5,Outer Ring Road,,,"8,000",
"Ginger Bangalore, Whitefield",3.7,Very Good,1198,3,Brookefield,,,"1,884",
Hotel Royal Orchid Bangalore,3.9,Very Good,2185,5,Domlur Layout,,,"7,268",872
"The Hosteller Bangalore, Koramangala",4.3,Excellent,13,,Koramangala,,,"1,295",294
Silicon City Hotel,3.4,Good,695,4,Hosur road,,,"1,586",418
Country Inn And Suites By Radisson Bengaluru Hebbal,3.8,Very Good,1928,4,Hebbal,,,"3,500",
Octave Himalaya Monarch,4,Very Good,2624,3,Gandhi Nagar,,,"1,645",333
Greenpark Bengaluru,4.7,Excellent,62,4,Bannerghatta Main road,,,"6,345","1,350"
ITC Gardenia - A Luxury Collection Hotel,4.5,Excellent,1389,5,Ashok Nagar ,MG Road,2.1 km ,"11,700",
The Continentti Whitefield,4,Very Good,1189,3,Brookefield,,,"2,791",564
The Monarch Luxur,3.9,Very Good,775,4,Infantry Road ,MG Road,1.6 km ,"3,723",752
Ballal Residency,3.9,Very Good,875,3,Residency Road ,MG Road,2.3 km ,"3,084",836
Hibernest Indiranagar,4.2,Very Good,142,,Indiranagar,,,"1,005",325
Fortune Park JP Celestial-Member ITC Hotel Group,3.8,Very Good,1876,4,Gandhi Nagar,,,"5,292",
"Click Hotel Bangalore, International Airport",4.2,Very Good,438,3,Near Bangalore Airport ,Kempegowda Airport ,8.0 km ,"3,510",421
Omatra Hotel HSR,3.4,Good,91,,Outer Ring Road,,,"2,194",539
Svenska Design Hotel,3.3,Good,627,,Electronic City,,,"1,999",642
Peninsula Suites,3.9,Very Good,1341,4,Whitefield,,,"2,264",306
Iris Hotel & Spa Bangalore,4.1,Very Good,1016,4,Residency Road ,MG Road,2.1 km ,"5,330","1,247"
SM Royal Stay Hotel near Intl Airport Bangalore,4.2,Very Good,47,3,Near Bangalore Airport ,Kempegowda Airport ,5.0 km ,"1,692",360
"Halcyon Residences
Like a 3",3.8,Very Good,613,,Koramangala,,,"2,759",755
Shangri-La Bengaluru,4.5,Excellent,584,5,Palace road ,Bangalore Palace,1.9 km ,"13,500",
The Leela Bhartiya City Bengaluru,4.6,Excellent,213,5,Tirumanahalli,,,"11,000",
"Holiday Inn Express & Suites, OMR Bengaluru",4.1,Very Good,526,4,Whitefield,,,"3,999",
Fairfield By Marriott Bengaluru Rajajinagar,3.9,Very Good,883,4,Rajajinagar,,,"5,400",
